time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,quat_w,quat_x,quat_y,quat_z,ang_vel_x,ang_vel_y,ang_vel_z,mass_kg,cg_z,thrust_x,thrust_y,thrust_z,aero_x,aero_y,aero_z,inertia_x,inertia_y,inertia_z,wind_x,wind_y,wind_z,tvc_cmd_pitch,tvc_cmd_yaw,tvc_err_pitch,tvc_err_yaw,num_engines
0,2.08969e-08,0,-4.90649e-06,4.17901e-05,0,-0.00981298,0,0,0,0.999048,0,0.0436194,0,0,-7.16724e-05,0,100,1.04085,0,0,0,4.18789,-0,0.0678011,130.97,130.97,2.6,10,0,0,0.043626,-0,-0.0872664,0,1
0.01,0.000164737,0,0.000748818,0.0327902,0,0.149781,0,0,0,0.999051,0,0.0435551,0,0,-0.0254219,0,99.992,1.04082,103.184,0,2497.87,4.19944,-0,0.0550773,130.964,130.964,2.59984,10,0,0,0.0410267,-0,-0.0871377,0,1
0.02,0.000653478,0,0.00299599,0.0648378,0,0.299672,0,0,0,0.999059,0,0.0433679,0,0,-0.0492685,0,99.984,1.04078,96.752,0,2498.13,4.21143,-0,0.0430033,130.957,130.957,2.59968,10,0,0,0.0384547,-0,-0.086763,0,1
0.03,0.00145897,0,0.00674264,0.0961328,0,0.449677,0,0,0,0.999072,0,0.0430653,0,0,-0.0716295,0,99.976,1.04075,90.4002,0,2498.37,4.22624,-0,0.0308302,130.951,130.951,2.59952,10,0,0,0.0359157,-0,-0.0861573,0,1
0.04,0.00257346,0,0.0119899,0.126628,0,0.599799,0,0,0,0.99909,0,0.0426547,0,0,-0.092526,0,99.968,1.04071,84.1423,0,2498.58,4.24388,-0,0.0185606,130.944,130.944,2.59936,10,0,0,0.0334151,-0,-0.0853353,0,1
0.05,0.00398872,0,0.018739,0.156282,0,0.750041,0,0,0,0.999112,0,0.0421433,0,0,-0.111982,0,99.96,1.04068,77.9905,0,2498.78,4.2644,-0,0.00619582,130.938,130.938,2.5992,10,0,0,0.0309576,-0,-0.0843116,0,1
0.06,0.00569617,0,0.0269912,0.185057,0,0.900405,0,0,0,0.999137,0,0.0415383,0,0,-0.130023,0,99.952,1.04065,71.9565,0,2498.97,4.25024,-0,-0.00626382,130.931,130.931,2.59904,10,0,0,0.0285479,-0,-0.0831004,0,1
0.07,0.00768679,0,0.0367475,0.212913,0,1.05089,0,0,0,0.999165,0,0.0408465,0,0,-0.146669,0,99.944,1.04061,66.0528,0,2499.13,4.20126,-0,-0.0188188,130.924,130.924,2.59888,10,0,0,0.026191,-0,-0.0817158,0,1
0.08,0.00995127,0,0.0480094,0.239823,0,1.2015,0,0,0,0.999197,0,0.0400751,0,0,-0.161951,0,99.936,1.04058,60.2895,0,2499.28,4.15464,-0,-0.0314704,130.918,130.918,2.59872,10,0,0,0.0238907,-0,-0.0801716,0,1
0.09,0.01248,0,0.0607779,0.265762,0,1.35223,0,0,0,0.99923,0,0.0392306,0,0,-0.175902,0,99.928,1.04054,54.6748,0,2499.41,4.11038,-0,-0.0442209,130.911,130.911,2.59856,10,0,0,0.0216504,-0,-0.0784813,0,1
0.1,0.0152632,0,0.0750543,0.29071,0,1.50308,0,0,0,0.999266,0,0.0383196,0,0,-0.18856,0,99.92,1.04051,49.2164,0,2499.52,4.06846,-0,-0.0570728,130.905,130.905,2.5984,10,0,0,0.019473,-0,-0.0766579,0,1
0.11,0.0182908,0,0.0908398,0.314652,0,1.65404,0,0,0,0.999302,0,0.0373485,0,0,-0.199961,0,99.912,1.04048,43.9209,0,2499.62,4.02886,-0,-0.0700299,130.898,130.898,2.59824,10,0,0,0.0173611,-0,-0.0747143,0,1
0.12,0.0215528,0,0.108136,0.337575,0,1.80512,0,0,0,0.99934,0,0.0363234,0,0,-0.210145,0,99.904,1.04044,38.7941,0,2499.71,3.99157,-0,-0.0830959,130.892,130.892,2.59808,10,0,0,0.0153169,-0,-0.0726628,0,1
0.13,0.0250389,0,0.126943,0.359471,0,1.95631,0,0,0,0.999379,0,0.0352504,0,0,-0.219152,0,99.896,1.04041,33.8409,0,2499.78,3.95656,-0,-0.0962754,130.885,130.885,2.59792,10,0,0,0.0133425,-0,-0.0705153,0,1
0.14,0.0287388,0,0.147262,0.380335,0,2.1076,0,0,0,0.999417,0,0.0341351,0,0,-0.227023,0,99.888,1.04038,29.0657,0,2499.84,3.9238,-0,-0.109573,130.878,130.878,2.59776,10,0,0,0.0114394,-0,-0.0682835,0,1
0.15,0.0326421,0,0.169095,0.400164,0,2.259,0,0,0,0.999456,0,0.0329833,0,0,-0.233802,0,99.88,1.04034,24.4718,0,2499.89,3.89326,-0,-0.122995,130.872,130.872,2.5976,10,0,0,0.00960909,-0,-0.0659785,0,1
0.16,0.0367386,0,0.192442,0.41896,0,2.4105,0,0,0,0.999494,0,0.0318001,0,0,-0.23953,0,99.872,1.04031,20.0619,0,2499.93,3.86489,-0,-0.136546,130.865,130.865,2.59744,10,0,0,0.00785251,-0,-0.063611,0,1
0.17,0.0410179,0,0.217305,0.436727,0,2.56209,0,0,0,0.999532,0,0.0305909,0,0,-0.244252,0,99.864,1.04027,15.8383,0,2499.96,3.83866,-0,-0.150231,130.859,130.859,2.59728,10,0,0,0.00617048,-0,-0.0611913,0,1
0.18,0.0454697,0,0.243684,0.453471,0,2.71377,0,0,0,0.999569,0,0.0293604,0,0,-0.248011,0,99.856,1.04024,11.8021,0,2499.99,3.81452,-0,-0.164057,130.852,130.852,2.59712,10,0,0,0.00456354,-0,-0.0587292,0,1
0.19,0.0500839,0,0.271581,0.469201,0,2.86553,0,0,0,0.999605,0,0.0281134,0,0,-0.250851,0,99.848,1.04021,7.95441,0,2500,3.79244,-0,-0.17803,130.846,130.846,2.59696,10,0,0,0.00303199,-0,-0.0562342,0,1
0.2,0.0548504,0,0.300995,0.48393,0,3.01737,0,0,0,0.999639,0,0.0268543,0,0,-0.252817,0,99.84,1.04017,4.29524,0,2500.01,3.77237,-0,-0.192156,130.839,130.839,2.5968,10,0,0,0.00157586,-0,-0.0537151,0,1
0.21,0.0597592,0,0.331929,0.49767,0,3.16929,0,0,0,0.999673,0,0.0255875,0,0,-0.253953,0,99.832,1.04014,0.82432,0,2500.02,3.75425,-0,-0.206441,130.832,130.832,2.59664,10,0,0,0.00019502,-0,-0.0511806,0,1
0.22,0.0648006,0,0.364381,0.510438,0,3.32128,0,0,0,0.999704,0,0.024317,0,0,-0.254303,0,99.824,1.0401,-2.45921,0,2500.02,3.73805,-0,-0.22089,130.826,130.826,2.59648,10,0,0,-0.00111091,-0,-0.0486387,0,1
0.23,0.0699648,0,0.398354,0.522251,0,3.47333,0,0,0,0.999734,0,0.0230465,0,0,-0.25391,0,99.816,1.04007,-5.55671,0,2500.02,3.72371,-0,-0.235511,130.819,130.819,2.59632,10,0,0,-0.00234249,-0,-0.046097,0,1
0.24,0.0752425,0,0.433848,0.533129,0,3.62544,0,0,0,0.999763,0,0.0217797,0,0,-0.252819,0,99.808,1.04004,-8.46995,0,2500.01,3.71118,-0,-0.250307,130.813,130.813,2.59616,10,0,0,-0.00350046,-0,-0.0435628,0,1
0.25,0.0806244,0,0.470863,0.543092,0,3.77761,0,0,0,0.999789,0,0.02052,0,0,-0.251071,0,99.8,1.04,-11.2012,0,2500,3.70042,-0,-0.265286,130.806,130.806,2.596,10,0,0,-0.00458571,-0,-0.0410429,0,1
0.26,0.0861014,0,0.5094,0.552163,0,3.92983,0,0,0,0.999814,0,0.0192705,0,0,-0.24871,0,99.792,1.03997,-13.753,0,2499.99,3.69137,-0,-0.280453,130.8,130.8,2.59584,10,0,0,-0.00559932,-0,-0.0385435,0,1
0.27,0.0916647,0,0.54946,0.560366,0,4.0821,0,0,0,0.999837,0,0.0180343,0,0,-0.245778,0,99.784,1.03993,-16.1283,0,2499.98,3.68399,-0,-0.295813,130.793,130.793,2.59568,10,0,0,-0.00654248,-0,-0.0360706,0,1
0.28,0.0973059,0,0.591043,0.567724,0,4.23442,0,0,0,0.999859,0,0.0168141,0,0,-0.242314,0,99.776,1.0399,-18.3306,0,2499.97,3.67822,-0,-0.311371,130.786,130.786,2.59552,10,0,0,-0.00741653,-0,-0.0336297,0,1
0.29,0.103016,0,0.634149,0.574265,0,4.38677,0,0,0,0.999878,0,0.0156123,0,0,-0.238359,0,99.768,1.03987,-20.3633,0,2499.95,3.67402,-0,-0.327133,130.78,130.78,2.59536,10,0,0,-0.00822294,-0,-0.0312259,0,1
